,u,v,h,w,X,Y,Z,type,n_frame
486,449,210,13,11,-21,169,18,yellow,32
487,1129,549,150,108,297,734,-131,yellow,32
488,614,197,12,10,-3,198,23,yellow,32
489,671,198,15,11,21,803,92,yellow,32
490,497,239,33,22,-73,839,67,blue,33
491,421,269,43,32,-55,403,22,blue,33
492,269,325,59,41,-116,488,5,blue,33
493,822,259,43,29,38,270,17,yellow,33
494,960,354,77,57,97,390,-6,yellow,33
495,763,225,31,23,90,957,87,yellow,33
496,459,226,24,17,-108,936,86,blue,33
497,437,220,20,14,-93,701,68,blue,33
498,621,202,21,15,-2,252,28,yellow,33
499,695,210,26,18,40,852,88,yellow,33
500,387,219,17,11,0,2,0,blue,33
501,565,200,17,11,-12,255,29,yellow,33
502,308,222,16,11,-64,286,28,yellow,33
503,410,203,14,10,-136,887,98,yellow,33
504,234,229,15,11,-145,520,48,yellow,33
505,332,209,13,11,-169,810,86,yellow,33
506,178,235,15,11,-60,188,16,yellow,33
507,499,201,14,11,-36,388,44,yellow,33
508,760,245,38,28,5,51,4,yellow,34
509,845,295,57,40,99,617,20,yellow,34
510,439,268,38,28,-72,579,33,blue,34
511,329,311,58,39,-120,614,13,blue,34
512,96,406,85,66,-284,797,-46,blue,34
513,334,237,20,14,-50,242,20,blue,34
514,680,229,26,19,1,18,2,yellow,34
515,385,239,23,16,-42,248,20,blue,34
516,406,247,28,20,-23,155,12,blue,34
517,595,219,22,16,-16,697,68,yellow,34
518,253,242,16,11,-187,707,58,blue,34
519,463,213,17,12,-112,968,100,yellow,34
520,533,214,18,13,-25,370,38,yellow,34
521,369,219,15,11,-26,145,14,yellow,34
522,1086,484,123,100,16,44,-6,yellow,34
523,178,248,15,11,-18,57,4,yellow,34
524,231,230,13,11,-266,942,86,yellow,34
525,207,232,11,11,-142,474,43,yellow,34
526,326,334,59,43,-89,450,2,blue,35
527,827,293,58,44,67,454,15,yellow,35
528,699,245,41,29,27,496,36,yellow,35
529,270,251,25,18,-70,280,20,blue,35
530,317,258,33,24,-110,516,34,blue,35
531,588,228,29,21,-13,501,45,yellow,35
532,187,254,21,15,-9,29,2,blue,35
533,324,279,38,28,-98,475,23,blue,35
534,437,217,20,14,-25,187,19,yellow,35
535,76,456,95,79,-326,885,-87,blue,35
536,515,219,24,16,-58,745,72,yellow,35
537,247,229,16,11,-59,218,20,yellow,35
538,115,259,17,12,-307,835,58,blue,35
539,41,258,16,11,-338,794,56,yellow,35
540,1030,445,100,72,158,510,-45,yellow,35
541,333,221,18,12,-201,976,95,yellow,35
